12 457 1051	29 80 32 470 455 456 66	0
29 595 12 592 80 79	12 518 163 29 592 80 79	0
29 988 33 253 457 935	32 227 966 8 9 313	1
923 2508 32 226 782 941 159 538	29 19 1575 1555 1853 17368 159 538	0
161 29 1107	29 23 169 431 447	0
1183 226 169 433 481 49 222	12 502 247 462 2328 1190 468	0
10 13 360 107 161 19 23	29 277 14 360 12 161 300 11	0
8 344 698 13 1139 220 354	202 220 354 1894 1888 1094 354 1493	0
12 254 967 1643 23 24 243 5545 12 16	1058 23 24 243 186 1520 12	1
72 431 447 133 230 300	29 1107 12 11	0
12 19 1794 23 1354 90 565	28 246 247 23 90 295 2029	0
202 2800 2140 76	169 282 415 12 202 453 80 665 267	0
28 12 3 291 2 300	28 431 432 1006 12 3 4 162 2 300 16	1
23 10 23 243 8981	243 106 29 467 23 16	0
202 177 282 283 283 282 140 370 12006	8 9 177 282 283 283 282 140 370	0
1555 1562 247 248	462 906 246 247 32 949 16	0
1811 19 115 115 23 10 23 1322 243 232 230	29 296 1103 232 230	0
12 317 74 44 533	646 12 317 43 533	1
72 29 68 367 262 2447	72 29 68 1282	0
29 19 117 118 810 52 53 180	133 134 117 118 72 1661 1661 116 881 338	0
29 307 308 76	12 101 102 29 984 243 25 574 16	1
29 10 317 12 522 276	29 1596 3 79 12 11	0
540 358 47 541 782 813 3186 272 379 1632 1367 1368	540 358 47 541 542 153 2700 1369	0
282 283 283 282 140 370 32 1499 1121 1053 641 13 16	48 50 50 48 140 370 32 355 334 1116 16	1
331 2538 322 19 1570	12 251 1132	0
127 69 70 23 39 9	748 499 127 69 70 23 43 433 434 9239 19	0
45 46 47 48 49 50 45 48	55 46 47 48 49 283 45 48 1021 2835	0
29 106 67 12 2250 422	2250 5 6 72 29 67	1
243 10 243 2074 2075	889 243 10 243	1
282 283 283 282 335 478 1842	48 335 478 169 1192	0
671 518 2436 276	521 629 10 522 794 11 276	0
810 457 524 525 29 19 59	457 485 19 59 831	0
12 2645 2646	72 29 2647 6 2646	1
353 8016 19 1095	225 221 227 86 87 224	0
12 108 8 9 74	12 74 11 39 9	0
426 482 483 192 484 220 354 19 854 23 58	29 19 2107 2108 2046 1647 147 121 23 58	0
126 485 12	126 485 12 533	1
5330 52 53 32 981 16	1476 981 23 52 53	0
255 200 1061	462 314 29 255 200	1
